Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, FT Cr ECMS-CMRGR1100LCU101969-ROHIT TRADERS-50200092158461,," 2,991,448.00",, 23/01/2026, NBU9F86JO2X4UT1G," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 39,000.00",, 23/01/2026, 602335066659, FARIDABAD HARYANA
, 57500000342857-2857,,,"-111,000,000.00", 23/01/2026, 601233566547," NETBANK, MUMBAI"
," RTGS Dr-ICIC0006303-CENTURYMETALRECYCLINGLIMITED-NETBANK, MUM-HDFCR52026012360701000",,,"-40,000,000.00", 23/01/2026, HDFCR52026012360701000," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 8,000.00",, 23/01/2026, 602335070259, FARIDABAD HARYANA
, CBDT/Bank Reference No:Y2602344656501/CIN No:26012300004132HDFC/Online,,,"-826,141.00", 23/01/2026, 260123090001613," NETBANK, MUMBAI"
, RTGS Cr ECMS-UTIB0000806-CMRGR1100LCU101508-SIDDHANATH JEWELLERS AND REFIN-922030054149128,," 1,601,625.00",, 23/01/2026, UTIBR62026012351914449, FORT
, RTGS Cr ECMS-UBIN0535443-CMRGR1100LCU101948-H.R.PRECISION TOOLS-354401010035039,," 906,800.00",, 23/01/2026, UBINR22026012301248328, FORT
, NEFT Cr ECMS-UTIB0002972-CMRGR1100LCU100257-INTERNATIONAL SALES CORPORATIO-923030045068389,," 1,650,000.00",, 23/01/2026, AXSK260230003671, FORT
, RTGS Cr ECMS-CBIN0280278-CMRLTD201LCU101105-K P S PRODUCTS-00000003389254474,," 1,100,000.00",, 23/01/2026, CBINR52026012310011257, FORT
, ODEX INDIA SOL-1100B0226013415,,,"-553,514.40", 23/01/2026, HDFCH00756319082," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013419,,,"-7,080.00", 23/01/2026, HDFCH00756323806," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226013417,,,"-1,202,441.24", 23/01/2026, HDFCH00756321333," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013398,,,"-7,080.00", 23/01/2026, HDFCH00756321334," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013418,,,"-131,286.80", 23/01/2026, HDFCH00756323825," NETBANK, MUMBAI"
, Ocean Network -1100B0226013391,,,"-790,244.82", 23/01/2026, HDFCH00756317350," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013394,,,"-131,286.80", 23/01/2026, HDFCH00756321940," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0000011-CMRGR1100LCU101901-SHREE KRISHANA RECYCLING INDIA-125705001461,," 3,041,091.00",, 23/01/2026, ICICR42026012300551194, FORT
, FT Cr ECMS-CMRGR1100LCU101969-ROHIT TRADERS-50200092158461,," 1,000.00",, 23/01/2026, HDFC6810CCA9B54A," NETBANK, MUMBAI"
, INW 210126I049900705 USD31000.0@91.86,," 2,847,660.00",, 23/01/2026, 230126265271," NETBANK, MUMBAI"
, 210126I049900705 DPO2602343642671 IGST,,,"-1,322.58", 23/01/2026, 230126265278," NETBANK, MUMBAI"
, RTGS Cr ECMS-CNRB0019260-CMRGR1100LCU101620-RITIK TRADING COMPANY-120017944599,," 1,000,000.00",, 23/01/2026, CNRBR52026012375666465, FORT
, JK CIVIL CONST-1100B0226013409,,,"-1,796,784.10", 23/01/2026, HDFCH00756798508," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013423,,,"-254,655.80", 23/01/2026, HDFCH00756977740," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013422,,,"-501,393.80", 23/01/2026, HDFCH00756977743," NETBANK, MUMBAI"
, Maersk Line In-1100B0226013420,,,"-320,322.80", 23/01/2026, HDFCH00756975538," NETBANK, MUMBAI"
, ADVANCE PAYMENT OF IMPORT BILL,,,"-139,855.51", 23/01/2026, 612BC09260230108," KUNDLI, SONEPAT"
, RTGS Cr-YESB0000403-DEL WBCAD OUT TRFR-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026012357045128,," 350,000,000.00",, 23/01/2026, YESBR52026012357045128, FORT
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101691-VEDANSH TRADING-3850190839,," 1,371,000.00",, 23/01/2026, KKBKR52026012300916496, FORT
, 00930310001264-1264,,,"-50,000,000.00", 23/01/2026, 601234464413," NETBANK, MUMBAI"
, 57500000863497-Eco,,,"-30,000,000.00", 23/01/2026, 601234464532," NETBANK, MUMBAI"
," RTGS Dr-SBIN0004298-CENTURYMETALRECYCLINGPVTLTD-NETBANK, MUM-HDFCR52026012360998714",,,"-10,000,000.00", 23/01/2026, HDFCR52026012360998714," NETBANK, MUMBAI"
, 00930310001274-1274,,,"-90,000,000.00", 23/01/2026, 601234464396," NETBANK, MUMBAI"
, NEFT Cr ECMS-PUNB0107400-CMRLTD201LCU100256-INDIAN METAL SCRAP-08281131002695,," 170,000.00",, 23/01/2026, PUNBH70057514954, FORT
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 81,425.28",, 23/01/2026,, FARIDABAD HARYANA
1/24/2026,Opening balance,"-18,345,883.44",,,,,
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101691-VEDANSH TRADING-3850190839,," 5,000,000.00",, 24/01/2026, KKBKR52026012400933870, FORT
, FT Cr ECMS-CMRGR1100LCU101504-S S TRADING AND CASTING WORKS-50200071610637,," 632,000.00",, 24/01/2026, HDFCB419180147BE," NETBANK, MUMBAI"
, RTGS Cr ECMS-CNRB0019260-CMRGR1100LCU100355-M S MANUFACTURING AN-120028091709,," 595,900.00",, 24/01/2026, CNRBR52026012475711269, FORT
, RTGS Cr ECMS-CBIN0280278-CMRLTD201LCU101105-K P S PRODUCTS-00000003389254474,," 650,000.00",, 24/01/2026, CBINR12026012410026355, FORT
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,507,500.00",, 24/01/2026, NBFTR2IH8TWABFYZ," NETBANK, MUMBAI"
, NEFT Cr-YESB0000001-SUN SHINE ENTERPRISES-cmr green technologies limited-YESME60240004564,," 50,000.00",, 24/01/2026, YESME60240004564, FORT
, NEFT Cr ECMS-CBIN0280402-CMRGR1100LCU101360-NAMAN ENTERPRISES-00000005204359575,," 322,000.00",, 24/01/2026, CBINH26024457522, FORT
, NEFT Cr ECMS-CBIN0280402-CMRGR1100LCU101360-NAMAN ENTERPRISES-00000005204359575,," 500,000.00",, 24/01/2026, CBINH26024457196, FORT
, IMPS CR ECMS-9016-CMRGR1100LCU101360-RAJ KUMAR-5204359575,," 12,260.00",, 24/01/2026, 602411333772, FARIDABAD HARYANA
, FT Cr ECMS-CMRGR1100LCU101397-B G ENTERPRISES-50200071110052,," 2,336,000.00",, 24/01/2026, NBHK6MO13YHNISHX," NETBANK, MUMBAI"
, CCH3Z0E19F0F9Q_MGVC-BILLMGVEC,,,"-682,108.39", 24/01/2026, 601244521181," NETBANK, MUMBAI"
, CCH3G2L19EZPRA_DHBV-DHBVNL,,,"-911,561.00", 24/01/2026, 601244518004," NETBANK, MUMBAI"
, IMPS CR ECMS-9015-CMRGR1100LCU101620-RITIK TRADING COMPAN-120017944599,," 325,000.00",, 24/01/2026, 602417520168, FARIDABAD HARYANA
, CCH3RPN19EXBJ4_DHBV-DHBVNL,,,"-25,064,964.00", 24/01/2026, 601244513805," NETBANK, MUMBAI"
, CHCE5DD19GB224-CBICICEGATE,,,"-3,820,984.00", 24/01/2026, 601244929624," NETBANK, MUMBAI"
1/25/2026,Opening balance,"-36,894,840.83",,,,,
, IMPS CR ECMS-9015-CMRGR1100LCU101552-RAM UGRAH-125004619169,," 300,000.00",, 25/01/2026, 602521775336, FARIDABAD HARYANA
1/26/2026,Opening balance,"-36,594,840.83",,,,,
, FT Cr ECMS-CMRLTD151LCU101373-SHRI JI METAL-50200053543370,," 3,103,400.00",, 26/01/2026, NBH8QPBRIIHSQE9L," NETBANK, MUMBAI"
, NEFT Cr ECMS-IDFB0021314-cmrgr1100lcu101943-M.R. TRADING CO.-89650005280,," 900,000.00",, 26/01/2026, IDFB602661498229, FORT
