Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906729,," 10,000,000.00",, 12/03/2026, SBINR12026031219906729, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906642,," 10,000,000.00",, 12/03/2026, SBINR12026031219906642, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906691,," 10,000,000.00",, 12/03/2026, SBINR12026031219906691, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906615,," 10,000,000.00",, 12/03/2026, SBINR12026031219906615, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906643,," 10,000,000.00",, 12/03/2026, SBINR12026031219906643, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906639,," 10,000,000.00",, 12/03/2026, SBINR12026031219906639, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906606,," 10,000,000.00",, 12/03/2026, SBINR12026031219906606, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906692,," 10,000,000.00",, 12/03/2026, SBINR12026031219906692, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906637,," 10,000,000.00",, 12/03/2026, SBINR12026031219906637, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026031219906727,," 10,000,000.00",, 12/03/2026, SBINR12026031219906727, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907516,," 10,000,000.00",, 12/03/2026, SBINR12026031219907516, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907462,," 10,000,000.00",, 12/03/2026, SBINR12026031219907462, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907523,," 10,000,000.00",, 12/03/2026, SBINR12026031219907523, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907515,," 10,000,000.00",, 12/03/2026, SBINR12026031219907515, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907528,," 10,000,000.00",, 12/03/2026, SBINR12026031219907528, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907527,," 10,000,000.00",, 12/03/2026, SBINR12026031219907527, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907519,," 10,000,000.00",, 12/03/2026, SBINR12026031219907519, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907530,," 10,000,000.00",, 12/03/2026, SBINR12026031219907530, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907520,," 10,000,000.00",, 12/03/2026, SBINR12026031219907520, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026031219907522,," 10,000,000.00",, 12/03/2026, SBINR12026031219907522, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908394,," 10,000,000.00",, 12/03/2026, SBINR12026031219908394, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908358,," 10,000,000.00",, 12/03/2026, SBINR12026031219908358, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908243,," 10,000,000.00",, 12/03/2026, SBINR12026031219908243, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908360,," 10,000,000.00",, 12/03/2026, SBINR12026031219908360, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908392,," 10,000,000.00",, 12/03/2026, SBINR12026031219908392, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908356,," 10,000,000.00",, 12/03/2026, SBINR12026031219908356, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908351,," 10,000,000.00",, 12/03/2026, SBINR12026031219908351, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908245,," 10,000,000.00",, 12/03/2026, SBINR12026031219908245, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908205,," 10,000,000.00",, 12/03/2026, SBINR12026031219908205, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908391,," 10,000,000.00",, 12/03/2026, SBINR12026031219908391, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908388,," 10,000,000.00",, 12/03/2026, SBINR12026031219908388, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908393,," 10,000,000.00",, 12/03/2026, SBINR12026031219908393, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908415,," 10,000,000.00",, 12/03/2026, SBINR12026031219908415, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908387,," 10,000,000.00",, 12/03/2026, SBINR12026031219908387, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026031219908413,," 10,000,000.00",, 12/03/2026, SBINR12026031219908413, CMS TF WBO MUMBAI
, FT603127323601-CMR ALUMINIUM PRIVATE LTD FT 0028-57500000540028,," 60,000,000.00",, 12/03/2026, 603127323601," NETBANK, MUMBAI"
, FT603127333958-CMR TOYOTSU ALUMINIUM INDIA PL FT-00930310001264,," 20,000,000.00",, 12/03/2026, 603127333958," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-422,000,000.00", 12/03/2026, 603127331898," NETBANK, MUMBAI"
, AGGARWAL ALUMI-1100B0226016837,,,-317, 12/03/2026, 603126838252," NETBANK, MUMBAI"
, URS CERTIFICAT-1100B0226016804,,,"-21,600.00", 12/03/2026, 603126798724," NETBANK, MUMBAI"
, PRIME OVERSEAS-1100B0226016832,,,-635, 12/03/2026, 603126838265," NETBANK, MUMBAI"
, CARBON CHECK -1100B0226016802,,,"-140,400.00", 12/03/2026, 603126793346," NETBANK, MUMBAI"
, NPR ASSOCIATES-1100B0226016816,,,"-112,199.40", 12/03/2026, 603126820460," NETBANK, MUMBAI"
, NINE TAUR MA-1100B0226016805,,,"-1,827,151.56", 12/03/2026, 603126796406," NETBANK, MUMBAI"
, PEE GEE TRADIN-1100B0226016830,,,"-1,081.00", 12/03/2026, 603126838260," NETBANK, MUMBAI"
, SCOPE OVERSEAS-1100B0226016835,,,-283, 12/03/2026, 603126838247," NETBANK, MUMBAI"
, DURGA TRADERS-1100B0226016811,,,"-15,714.43", 12/03/2026, HDFCH00864006154," NETBANK, MUMBAI"
, M S GOLDEN ENT-1100B0226016834,,,-72, 12/03/2026, HDFCH00864014430," NETBANK, MUMBAI"
, Allcast Metals-1100B0226016810,,,"-73,160.00", 12/03/2026, HDFCH00864012630," NETBANK, MUMBAI"
, GUNGUN CANTEEN-1100B0226016827,,,"-373,544.60", 12/03/2026, HDFCH00864014040," NETBANK, MUMBAI"
, Hamraj Enterpr-1100B0226016797,,,"-4,366.00", 12/03/2026, HDFCH00864014041," NETBANK, MUMBAI"
, SHIVAY ULTIMAT-1100B0226016828,,,"-2,237,621.46", 12/03/2026, HDFCH00864016189," NETBANK, MUMBAI"
, ANSH ENTERPRIS-1100B0226016836,,,-56, 12/03/2026, HDFCH00864014438," NETBANK, MUMBAI"
, LOGISNEXT INDI-1100B0226016812,,,"-24,911.50", 12/03/2026, HDFCH00864014059," NETBANK, MUMBAI"
, METAL FINISHIN-1100B0226016798,,,"-171,000.00", 12/03/2026, HDFCH00864014441," NETBANK, MUMBAI"
, ATIF TRADING C-1100B0226016833,,,"-2,479,155.84", 12/03/2026, HDFCH00864011760," NETBANK, MUMBAI"
, CMS IT SERVICE-1100B0226016813,,,"-322,999.82", 12/03/2026, HDFCH00864014445," NETBANK, MUMBAI"
, EECO PORTABLE -1100B0226016801,,,"-90,000.00", 12/03/2026, HDFCH00864014070," NETBANK, MUMBAI"
, ABACUS COMMUNI-1100B0226016799,,,"-381,900.00", 12/03/2026, HDFCH00864015346," NETBANK, MUMBAI"
, A R STEEL-1100B0226016826,,,-304, 12/03/2026, HDFCH00864014449," NETBANK, MUMBAI"
, NABIYA TRADERS-1100B0226016831,,,-883, 12/03/2026, HDFCH00864016298," NETBANK, MUMBAI"
, UNIVERSAL META-1100B0226016823,,,"-1,656,236.53", 12/03/2026, HDFCH00864015352," NETBANK, MUMBAI"
, NATIONAL ENTER-1100B0226016829,,,-285, 12/03/2026, HDFCH00864014451," NETBANK, MUMBAI"
, OVERZEAL TRADE-1100B0226016822,,,"-2,282,775.55", 12/03/2026, HDFCH00864015358," NETBANK, MUMBAI"
, BRINDA CORPORA-1100B0226016803,,,"-98,919.40", 12/03/2026, HDFCH00864014452," NETBANK, MUMBAI"
, JASAWAT INDUST-1100B0226016796,,,"-129,092.00", 12/03/2026, HDFCH00864012728," NETBANK, MUMBAI"
, 603126729107Pramod Ray 15636,,,"-100,000.00", 12/03/2026, HDFCH00864024583," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016852,,,"-147,417.40", 12/03/2026, HDFCH00864201435," NETBANK, MUMBAI"
, RTGS Cr-ICIC0099999-RICO AUTO INDUSTRIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-ICICR22026031215018877,," 5,401,075.96",, 12/03/2026, ICICR22026031215018877, FORT
, COMM ON LIQD OF IMP COLL BILL,,,-177, 12/03/2026, 612BC05260710003," KUNDLI, SONEPAT"
, COMM ON LIQD OF IMP COLL BILL,,,-177, 12/03/2026, 612BC05260710002," KUNDLI, SONEPAT"
, COMM ON LIQD OF IMP COLL BILL,,,-177, 12/03/2026, 612BC05260710004," KUNDLI, SONEPAT"
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 2,971,351.09",, 12/03/2026,, FARIDABAD HARYANA
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 12540310000177,," 15,052,378.44",, 12/03/2026,, SRIPERAMBUDUR
3/13/2026,Opening balance,"-52,740,641.24",,,,,
, IMPS CR ECMS-9015-CMRGR1100LCU101892-NEW ASIA METAL INDUS-3258201000600,," 303,909.00",, 13/03/2026, 607201039978, FARIDABAD HARYANA
, Maersk Line In-1100B0226016849,,,"-456,789.80", 13/03/2026, HDFCH00864556563," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016850,,,"-306,162.80", 13/03/2026, HDFCH00864573986," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016851,,,"-206,747.80", 13/03/2026, HDFCH00864573999," NETBANK, MUMBAI"
, RTGS Cr ECMS-UTIB0003202-CMRGR1100LCU101110-OM NAMO METAL-922020066935237,," 434,000.00",, 13/03/2026, UTIBR72026031300570474, FORT
, FT Cr ECMS-CMRGR1100LCU100767-PEEYUSH METAL-50200073483622,," 3,103,400.00",, 13/03/2026, 1520738012, CBX Internet System Mumbai
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU100496-GMC ENTERPRISES-0747497392,," 1,551,700.00",, 13/03/2026, KKBKR12026031300774740, FORT
, RTGS Cr ECMS-BARB0ALIGAR-CMRGR1100LCU100496-GMC ENTERPRISES-05830200000426,," 1,534,000.00",, 13/03/2026, BARBR52026031300879737, FORT
, IMPS CR ECMS-7217-CMRGR1100LCU101748-N F METALS RECYCLING-053126900000091,," 89,385.00",, 13/03/2026, 607277292713, FARIDABAD HARYANA
, FT-HIZINC7795-Hindustan Zinc Ltd.,,,"-30,692,367.46", 13/03/2026, 603126817829," NETBANK, MUMBAI"
, P.G. Internati-1100B0226016817,,,"-12,482,995.17", 13/03/2026, HDFCH00864772200," NETBANK, MUMBAI"
, JK CIVIL CONST-1100B0226016809,,,"-3,289,514.24", 13/03/2026, HDFCH00864771219," NETBANK, MUMBAI"
, OMKAR METAL-1100B0226016821,,,"-8,529,198.09", 13/03/2026, HDFCH00864776755," NETBANK, MUMBAI"
, M S MITTALICS -1100B0226016820,,,"-2,591,260.39", 13/03/2026, HDFCH00864771223," NETBANK, MUMBAI"
, HUDEI METALS P-1100B0226016819,,,"-7,510,598.31", 13/03/2026, HDFCH00864772204," NETBANK, MUMBAI"
, SHREE KALYAN C-1100B0226016838,,,"-3,661,647.67", 13/03/2026, HDFCH00864772205," NETBANK, MUMBAI"
, ALPHA METALS -1100B0226016824,,,"-3,426,540.77", 13/03/2026, HDFCH00864771271," NETBANK, MUMBAI"
, BHAGWATI ENTER-1100B0226016825,,,"-2,960,317.80", 13/03/2026, HDFCH00864775043," NETBANK, MUMBAI"
, SWASTIK INTERN-1100B0226016818,,,"-2,778,399.12", 13/03/2026, HDFCH00864775044," NETBANK, MUMBAI"
, FT-HIZINC7904-Hindustan Zinc Ltd.,,,"-14,846,607.46", 13/03/2026, 603126819060," NETBANK, MUMBAI"
, AMAIRA METALS-1100B0226016857,,,"-6,769,722.32", 13/03/2026, 603127516544," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 31,500.00",, 13/03/2026, 607245523770, FARIDABAD HARYANA
, IMPS CR ECMS-9211-CMRGR1100LCU101769-NAEEMJAVED-919020035458367,," 14,000.00",, 13/03/2026, 607279172679, FARIDABAD HARYANA
, IMPS CR ECMS-9015-CMRGR1100LCU100174-AARTI ENTERPRISES-8430201000281,," 479,000.00",, 13/03/2026, 607212114023, FARIDABAD HARYANA
, ODEX INDIA SOL-1100B0226016873,,,"-32,981.00", 13/03/2026, HDFCH00865170710," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016869,,,"-131,757.62", 13/03/2026, HDFCH00865169028," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016868,,,"-504,992.80", 13/03/2026, HDFCH00865173404," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016867,,,"-131,286.80", 13/03/2026, HDFCH00865169043," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226016861,,,"-1,075,348.16", 13/03/2026, HDFCH00865173413," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016870,,,"-131,286.80", 13/03/2026, HDFCH00865171960," NETBANK, MUMBAI"
, Maersk Line In-1100B0226016871,,,"-7,080.00", 13/03/2026, HDFCH00865172765," NETBANK, MUMBAI"
, NEFT Cr ECMS-CNRB0019251-CMRLTD151LCU101556-M S ENTERPRISES-92511400000402,," 513,000.00",, 13/03/2026, CNRBH00117583684, FORT
, NEFT Cr ECMS-CNRB0019251-CMRLTD151LCU101556-M S ENTERPRISES-92511400000402,," 59,000.00",, 13/03/2026, CNRBH00117589812, FORT
, RTGS Cr ECMS-CNRB0008423-CMRGE1100LCU101988-YASHASVI ENTERPRISES-120038713154,," 681,000.00",, 13/03/2026, CNRBR52026031380043936, FORT
, RTGS Cr ECMS-UTIB0003112-CMRLTD151LCU101486-ADITYA ENTERPRISES-921020054868210,," 690,000.00",, 13/03/2026, UTIBR72026031300574788, FORT
, RTGS Cr ECMS-SVCB0000252-CMRLTD151LCU101330-OM TRADING-300002000005017,," 680,000.00",, 13/03/2026, SVCBR52026031300453635, FORT
, LOCAL BILL DISCOUNTED,," 166,850,312.39",, 13/03/2026, 612SB04260720001," KUNDLI, SONEPAT"
, LOCAL BILL DISCOUNTED,," 102,653,863.46",, 13/03/2026, 612SB04260720002," KUNDLI, SONEPAT"
, SWASTIK INTERN-1100B0226016856,,,"-1,609,824.72", 13/03/2026, HDFCH00865494712," NETBANK, MUMBAI"
, SHARMA METAL-1100B0226016854,,,"-2,078,812.80", 13/03/2026, HDFCH00865497960," NETBANK, MUMBAI"
, SCOPE OVERSEAS-1100B0226016855,,,"-2,315,715.86", 13/03/2026, 603127511278," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0000011-CMRGR1100LCU101832-MANOJ TRADING CO.-235451000006,," 2,216,700.00",, 13/03/2026, ICICR42026031300547045, FORT
, IMPS CR ECMS-9015-CMRGR1100LCU100174-AARTI ENTERPRISES-8430201000281,," 21,000.00",, 13/03/2026, 607215164696, FARIDABAD HARYANA
, LOCAL BILL DISCOUNTED,," 96,251,189.36",, 13/03/2026, 612SB04260720003," KUNDLI, SONEPAT"
, LOCAL BILL DISCOUNTED,," 71,206,521.90",, 13/03/2026, 612SB04260720004," KUNDLI, SONEPAT"
, 57500000863497-eco,,,"-10,000,000.00", 13/03/2026, 603138146963," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-220,000,000.00", 13/03/2026, 603138142948," NETBANK, MUMBAI"
, 12540310000177-177,,,"-50,900,000.00", 13/03/2026, 603138135427," NETBANK, MUMBAI"
, ELECTRIC MAC-1100B0226016853,,,"-2,036,337.00", 13/03/2026, HDFCH00865769938," NETBANK, MUMBAI"
, Maruti Suzuki -1100B0226016892,,,"-2,490,000.00", 13/03/2026, HDFCH00865766721," NETBANK, MUMBAI"
, RTGS Cr ECMS-UTIB0001602-CMRLTD201LCU100885-BALAJI METAL-919020028918184,," 1,983,500.00",, 13/03/2026, UTIBR72026031300577189, FORT
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101823-NAMAN SS PRIVATE LIMITED-5748189215,," 3,440,130.00",, 13/03/2026, KKBKR22026031321665683, FORT
, LIQUIDATION OF IMP COLL BILL,,,"-2,521,147.93", 13/03/2026, 612BC05260340005," KUNDLI, SONEPAT"
, Mohini Industr-1100B0226016907,,,"-351,412.70", 13/03/2026, 603138188282," NETBANK, MUMBAI"
, VISHNU VIHAN F-1100B0226016937,,,"-64,833.00", 13/03/2026, 603138188232," NETBANK, MUMBAI"
, SHREE JEE META-1100B0226016926,,,"-93,841.00", 13/03/2026, 603138188198," NETBANK, MUMBAI"
, Rehan Traders-1100B0226016903,,,"-37,348.00", 13/03/2026, 603138188209," NETBANK, MUMBAI"
, S G M METAL CO-1100B0226016929,,,"-72,844.00", 13/03/2026, 603138188204," NETBANK, MUMBAI"
, BANSAL STEEL-1100B0226016934,,,"-73,149.00", 13/03/2026, 603138188220," NETBANK, MUMBAI"
, BAHUBALI NAMO -1100B0226016946,,,"-225,694.90", 13/03/2026, 603138188269," NETBANK, MUMBAI"
, SUNLITE RECYCL-1100B0226016930,,,"-1,689,162.00", 13/03/2026, 603138188207," NETBANK, MUMBAI"
, SHRI JI METAL -1100B0226016923,,,"-52,726.08", 13/03/2026, 603138188191," NETBANK, MUMBAI"
, PR METAL ALLOY-1100B0226016924,,,"-42,170.64", 13/03/2026, 603138188193," NETBANK, MUMBAI"
, UTKARSHA METAL-1100B0226016896,,,"-1,935,965.15", 13/03/2026, 603138160227," NETBANK, MUMBAI"
, India Metal Ca-1100B0226016910,,,"-100,126.80", 13/03/2026, HDFCH00865986583," NETBANK, MUMBAI"
, WHITEROCK-1100B0226016916,,,"-106,217.94", 13/03/2026, HDFCH00865988892," NETBANK, MUMBAI"
, Indian Metal S-1100B0226016902,,,"-45,490.24", 13/03/2026, HDFCH00865987917," NETBANK, MUMBAI"
, K K STEELS-1100B0226016908,,,"-310,493.66", 13/03/2026, HDFCH00865980457," NETBANK, MUMBAI"
, VIPUL ENTERPRI-1100B0226016918,,,"-106,679.00", 13/03/2026, HDFCH00865988910," NETBANK, MUMBAI"
, Peeyush Metal-1100B0226016906,,,"-98,533.44", 13/03/2026, 603138188280," NETBANK, MUMBAI"
, MANOJ TRADING -1100B0226016935,,,"-158,834.20", 13/03/2026, HDFCH00865980467," NETBANK, MUMBAI"
, SHRI KRISHNA M-1100B0226016939,,,"-357,474.68", 13/03/2026, HDFCH00865987938," NETBANK, MUMBAI"
, K.P.ENTERPRISE-1100B0226016922,,,"-14,655.00", 13/03/2026, HDFCH00865987227," NETBANK, MUMBAI"
, TS ENTERPRISES-1100B0226016944,,,"-40,052.40", 13/03/2026, 603138188264," NETBANK, MUMBAI"
, OPTIMA METAL R-1100B0226016921,,,"-31,678.00", 13/03/2026, HDFCH00865987231," NETBANK, MUMBAI"
, RITIK TRADING -1100B0226016932,,,"-143,652.00", 13/03/2026, HDFCH00865980478," NETBANK, MUMBAI"
, Jai Durge Ente-1100B0226016911,,,"-74,273.10", 13/03/2026, HDFCH00865987956," NETBANK, MUMBAI"
, MOHAN SHYAM ME-1100B0226016925,,,"-25,956.32", 13/03/2026, HDFCH00865986643," NETBANK, MUMBAI"
, PRATEEK TRADER-1100B0226016942,,,"-88,370.00", 13/03/2026, 603138188257," NETBANK, MUMBAI"
, Mascot Recycli-1100B0226016895,,,"-2,445,195.97", 13/03/2026, HDFCH00865986650," NETBANK, MUMBAI"
, BALAJI METAL-1100B0226016909,,,"-77,703.00", 13/03/2026, HDFCH00865986657," NETBANK, MUMBAI"
, URBAN METAL -1100B0226016897,,,"-518,560.42", 13/03/2026, HDFCH00865980506," NETBANK, MUMBAI"
, Vinayak Indust-1100B0226016912,,,"-131,384.40", 13/03/2026, HDFCH00865987967," NETBANK, MUMBAI"
, DV GLOBEX-1100B0226016943,,,"-16,251.40", 13/03/2026, 603138188261," NETBANK, MUMBAI"
, G.M.C Enterpri-1100B0226016904,,,"-103,613.00", 13/03/2026, HDFCH00865987978," NETBANK, MUMBAI"
, MEHAK TRADING -1100B0226016927,,,"-149,169.00", 13/03/2026, HDFCH00865980522," NETBANK, MUMBAI"
, SHARMA METAL-1100B0226016898,,,"-940,995.92", 13/03/2026, HDFCH00865988970," NETBANK, MUMBAI"
, R. P. Metal Me-1100B0226016905,,,"-36,034.18", 13/03/2026, HDFCH00865987295," NETBANK, MUMBAI"
, JMD METALS REC-1100B0226016938,,,"-135,677.60", 13/03/2026, HDFCH00865982551," NETBANK, MUMBAI"
, MAHAKAL ENTERP-1100B0226016917,,,"-43,041.60", 13/03/2026, HDFCH00865980554," NETBANK, MUMBAI"
, SUSHILA ENTERP-1100B0226016915,,,"-146,954.40", 13/03/2026, HDFCH00865980555," NETBANK, MUMBAI"
, MATHURIA TRADE-1100B0226016933,,,"-56,680.00", 13/03/2026, HDFCH00865988992," NETBANK, MUMBAI"
, SINGHAL CHEMIC-1100B0226016941,,,"-56,695.33", 13/03/2026, HDFCH00865987995," NETBANK, MUMBAI"
, S.M METALS-1100B0226016919,,,"-34,857.92", 13/03/2026, HDFCH00865980569," NETBANK, MUMBAI"
, SHIVAANYA META-1100B0226016931,,,"-103,621.14", 13/03/2026, HDFCH00865988005," NETBANK, MUMBAI"
, Maruti Suzuki -1100B0226016891,,,"-2,490,000.00", 13/03/2026, HDFCH00865982567," NETBANK, MUMBAI"
, KPS PRODUCTS-1100B0226016914,,,"-618,832.00", 13/03/2026, HDFCH00865987399," NETBANK, MUMBAI"
, MOREY TRADERS-1100B0226016940,,,"-59,700.00", 13/03/2026, HDFCH00865980592," NETBANK, MUMBAI"
, SS METALS ENTE-1100B0226016936,,,"-153,059.60", 13/03/2026, HDFCH00865989725," NETBANK, MUMBAI"
, OM TRADING-1100B0226016920,,,"-37,138.00", 13/03/2026, HDFCH00865980604," NETBANK, MUMBAI"
, GOYAL METAL -1100B0226016928,,,"-299,310.24", 13/03/2026, HDFCH00865980605," NETBANK, MUMBAI"
, Bright Industr-1100B0226016901,,,"-10,404.00", 13/03/2026, HDFCH00865980614," NETBANK, MUMBAI"
, CHETAN TRADE E-1100B0226016949,,,"-106,307.00", 13/03/2026, HDFCH00865995719," NETBANK, MUMBAI"
, U.P. Green Rec-1100B0226016947,,,"-327,420.00", 13/03/2026, HDFCH00865993847," NETBANK, MUMBAI"
, MOURYA ENTERPR-1100B0226016948,,,"-57,963.60", 13/03/2026, HDFCH00865995722," NETBANK, MUMBAI"
, Cosco Shipping-1100B0226016952,,,"-109,341.60", 13/03/2026, HDFCH00865992323," NETBANK, MUMBAI"
, CCH3EV91ELHNT9_DHBV-DHBVNL,,,"-357,725.00", 13/03/2026, 603138148496," NETBANK, MUMBAI"
, INW 130326I049905659 USD589868.95@92.31,," 54,450,802.77",, 13/03/2026, 130326208234," NETBANK, MUMBAI"
, 130326I049905659 DPO2607255705415 IGST,,,"-10,611.14", 13/03/2026, 130326208241," NETBANK, MUMBAI"
, IMPS CR ECMS-9229-CMRGR1100LSU102994-U. P. GREEN RECYCLIN-358105000573,," 200,000.00",, 13/03/2026, 607217228856, FARIDABAD HARYANA
, NEFT RETURN-CLOSED ACCOUNT NUMBER-MOURYA ENTERPRISES-BKIDN92026031343511722,," 57,963.60",, 13/03/2026, HDFCH00865995722, FORT
, RTGS Cr-SCBL0036001-SUNBEAM LIGHTWEIGHTING SOLUTIONS PR-CMR GREEN TECHNOLOGIES LIMITED-SCBLR12026031300821395,," 48,054,486.00",, 13/03/2026, SCBLR12026031300821395, FORT
, INW 130326I049901872 USD4842.55@92.25,," 446,725.24",, 13/03/2026, 130326212956," NETBANK, MUMBAI"
, 130326I049901872 DPO2607255708518 IGST,,,-492.05, 13/03/2026, 130326212963," NETBANK, MUMBAI"
, NEFT Cr ECMS-UTIB0002172-CMRGR1100LCU101448-M.G. METALS-920020057240920,," 1,026,260.00",, 13/03/2026, AXOIR07200915755, FORT
," RTGS Dr-SBIN0004298-CENTURYMETALRECYCLINGPVTLTD-NETBANK, MUM-HDFCR52026031381462515",,,"-180,000,000.00", 13/03/2026, HDFCR52026031381462515," NETBANK, MUMBAI"
, FT-HDERRC100698844034-HDFC ERGO GENERAL INSURANCE CO. LTD,,,"-1,003,001.18", 13/03/2026, 603138597999," NETBANK, MUMBAI"
